"Story","Title","Result","Date","Stability","Duration (s)"
"Funcionalidad de Hacer Busqueda","Busqueda exitosa - Con Parametro","SUCCESS","2021-08-07T02:14:03.583-03:00[America/Buenos_Aires]","0.0","6.27"
"Funcionalidad de Inciar Sesion Con Credenciales Incorrectas","Inciar Sesion Con Credenciales Incorrectas - Con Parametro","SUCCESS","2021-08-07T02:14:15.928-03:00[America/Buenos_Aires]","0.0","6.18"
